"geo_id,name,value,date"
"S12000033,Aberdeen City,77.7,2021"
"S12000034,Aberdeenshire,79.4,2021"
"S12000041,Angus,78.3,2021"
"S12000035,Argyll and Bute,78.6,2021"
"S12000036,City of Edinburgh,79.3,2021"
"S12000005,Clackmannanshire,76.8,2021"
"S12000006,Dumfries and Galloway,78.1,2021"
"S12000042,Dundee City,76.4,2021"
"S12000008,East Ayrshire,76.9,2021"
"S12000045,East Dunbartonshire,80.7,2021"
"S12000010,East Lothian,79.0,2021"
"S12000011,East Renfrewshire,80.5,2021"
"S12000014,Falkirk,77.4,2021"
"S12000047,Fife,77.8,2021"
"S12000049,Glasgow City,74.4,2021"
"S12000017,Highland,78.5,2021"
"S12000018,Inverclyde,75.8,2021"
"S12000019,Midlothian,78.2,2021"
"S12000020,Moray,78.7,2021"
"S12000013,Na h-Eileanan Siar,78.3,2021"
"S12000021,North Ayrshire,76.4,2021"
"S12000050,North Lanarkshire,76.7,2021"
"S12000023,Orkney Islands,79.5,2021"
"S12000048,Perth and Kinross,79.2,2021"
"S12000038,Renfrewshire,77.1,2021"
"S12000026,Scottish Borders,78.8,2021"
"S12000027,Shetland Islands,79.0,2021"
"S12000028,South Ayrshire,77.6,2021"
"S12000029,South Lanarkshire,77.3,2021"
"S12000030,Stirling,78.6,2021"
"S12000039,West Dunbartonshire,75.5,2021"
"S12000040,West Lothian,77.7,2021"