region,defunciones,tasa,swaroop_total,swaroop_hombre,swaroop_mujer
De Arica y Parinacota,1205,5.13,74.7%,71.9%,78.0%
De Tarapacá,1425,4.33,69.7%,64.3%,76.5%
De Antofagasta,3068,5.00,71.0%,65.9%,77.6%
De Atacama,1484,4.81,75.1%,73.1%,77.7%
De Coquimbo,4133,5.44,78.0%,73.3%,83.5%
De Valparaíso,12106,6.69,82.2%,77.9%,87.0%
Metropolitana de Santiago,38839,5.37,78.2%,71.9%,84.6%
Del Libertador B. O'Higgins,5341,5.87,77.2%,74.1%,81.1%
Del Maule,6194,5.98,78.8%,74.9%,83.6%
Del Biobío,12752,6.07,77.9%,73.5%,83.0%
De La Araucanía,6148,6.25,77.5%,72.5%,83.5%
De Los Ríos,2614,6.51,77.7%,73.9%,82.3%
De Los Lagos,5052,6.05,74.5%,67.8%,82.8%
De Aisén del Gral. C. Ibáñez del Campo,483,4.50,70.0%,67.6%,73.8%
De Magallanes y de La Antártica Chilena,1095,6.69,78.4%,72.0%,87.0%